What objects that satisfy the following statement : (subject : Nobel Prize in Physiology or Medicine | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Premier League Player of the Season | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : FAI Gold Air Medal | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Fulbright Prize | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Ballon d'Or | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Nobel Prize in Physics | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Time Person of the Year | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : UEFA Team of the Year | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Fields medal | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Order of the Golden Fleece | relation : awardWonBy | objects : ?)
What objects that satisfy the following statement : (subject : Farfetch | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : McColl's | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bangladesh Cement Manufacturers Association | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : West Japan Railway Company | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Chubu Electric Power | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Totoku Electric | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Tama Home | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Morningstar, Inc. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Energen | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : McBride plc | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Maxilivres | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Bank Panin Dubai Syariah | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Welling Holding Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : BNP Paribas | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : TOOL Werkzeugba | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Linde Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : JGC Holdings Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Falabella | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Knipex | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : MONEY3 CORPORATION LIMITED | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Amlin | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Novadios | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Tapestry, Inc. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Sodexo | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : PACCO | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Nicca Chemical | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Idaho Botanical Garden | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : ING Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Amundi CR - Fond Investičních Příležitostí 7/2020, Amundi Czech Republic, investiční společnost, a.s | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Orange County Choppers | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Link Motion Inc | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Medion Impex | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Kobe Steel | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : General Mills | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Betsson | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Warner Bros. Home Entertainment | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Enbridge | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Altium Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : VIRIBUS UNITIS - investiční poradenství | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : DOMITRUCK | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : JYP Entertainment | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Iran Electronics Industries | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Rautaruukki | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : JCDecaux | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Global Telecom Holding | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Arista Networks | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : PC Transport Systems | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Halliburton | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Spartan Motors | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Coldwater Creek | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Koninklijke Philips NV | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Sun Hing Printing | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Korean Air | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : H World Group Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Battery Expert | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : BIOSTER | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : IDP Education | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Pandora A/S | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Stanley Black & Decker | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Société Générale | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : ams OSRAM AG | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Foxconn | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Moravské kovárny | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Target Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Sumitomo Chemical | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : MOSAD LOGISTIK | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Nautilus, Inc. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Union Bank Of Israel Ltd. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Manuli Hydraulics Europe | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Friedman's Inc. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Scholastic Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Dynamics Research Corporation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Erie Railroad | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Vrtáky | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Deutsche Ost-Afrika Linie | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Shield On Service | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : D-Wave Systems | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Slatinné lázně Třeboň | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Ablex Publishing | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Intact Financial | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : KENOBI | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : UTair Aviation | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Grand Baoxin Auto Group Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Magna International | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : State Printing Company | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : MindMed | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Wan Kei Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Burwill Holdings Limited | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : cahoot | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Camping World | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Sinar Mas Land | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Tokmanni | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : GD Power Development Company | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : CIMIC Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Palm, Inc. | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Prysmian Group | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : CHINNEY ALLIANCE GROUP | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : All Nippon Airways | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Daihatsu | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Adtranz | relation : companyTradesAtStockExchange | objects : ?)
What objects that satisfy the following statement : (subject : Sierra Leone | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : New Zealand | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Germany | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Niger | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Liberia | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Mauritius | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Nicaragua | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Kazakhstan | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Botswana | relation : countryLandBordersCountry | objects : ?)
What objects that satisfy the following statement : (subject : Cyprus | relation : countryLandBordersCountry | objects : ?)
